,Municipio,Año,Ingresos,Monto ingresos,Porcentaje ingresos,Egresos,Monto egresos,Porcentaje egresos,Concepto,Total
90,García,2000,Ingresos de deuda,1100000,2.97%,Deuda,887373,2.40%,,
91,García,2000,,,,Otros,2031462,5.49%,,
96,General Escobedo,2000,Ingresos propios,83056540,38.15%,Gasto corriente,121655696,55.88%,Ingresos,217693009
97,General Escobedo,2000,Ingresos provenientes de transferencias federales,119661977,54.97%,Inversión,70329602,32.31%,Egresos,217693009
98,General Escobedo,2000,Ingresos de deuda,14974492,6.88%,Deuda,8054421,3.70%,,
99,General Escobedo,2000,,,,Otros,17653290,8.11%,,
100,General Zuazua,2000,Ingresos propios,2839589,19.51%,Gasto corriente,9513359,65.36%,Ingresos,14555540
101,General Zuazua,2000,Ingresos provenientes de transferencias federales,11715951,80.49%,Inversión,3594728,24.70%,Egresos,14555540
102,General Zuazua,2000,Ingresos de deuda,0,0.00%,Deuda,182421,1.25%,,
103,General Zuazua,2000,,,,Otros,1265032,8.69%,,
108,Juárez,2000,Ingresos propios,22194767,39.37%,Gasto corriente,23853197,42.31%,Ingresos,56371153
109,Juárez,2000,Ingresos provenientes de transferencias federales,34176386,60.63%,Inversión,10061011,17.85%,Egresos,56371153
110,Juárez,2000,Ingresos de deuda,0,0.00%,Deuda,0,0.00%,,
111,Juárez,2000,,,,Otros,22456945,39.84%,,
116,Pesquería,2000,Ingresos propios,6518847,38.63%,Gasto corriente,12172082,72.13%,Ingresos,16874594
117,Pesquería,2000,Ingresos provenientes de transferencias federales,10255747,60.78%,Inversión,2778237,16.46%,Egresos,16874594
118,Pesquería,2000,Ingresos de deuda,100000,0.59%,Deuda,198882,1.18%,,
119,Pesquería,2000,,,,Otros,1725393,10.22%,,
120,Salinas Victoria,2000,Ingresos propios,6273504,26.74%,Gasto corriente,8785101,37.45%,Ingresos,23457408
121,Salinas Victoria,2000,Ingresos provenientes de transferencias federales,17079726,72.81%,Inversión,11923748,50.83%,Egresos,23457408
122,Salinas Victoria,2000,Ingresos de deuda,104178,0.44%,Deuda,0,0.00%,,
123,Salinas Victoria,2000,,,,Otros,2748559,11.72%,,
128,Santa Catarina,2000,Ingresos propios,87468618,35.89%,Gasto corriente,147078042,60.35%,Ingresos,243695370
