Municipio,Year,Ingresos,Monto_ingresos,Pob,prop_ingr
García,2010,Ingresos de deuda,110935102,143668,772.1629173
General Escobedo,2010,Ingresos propios,200345130,357937,559.7217667
General Escobedo,2010,Ingresos provenientes de transferencias federales,475238328,357937,1327.715011
General Escobedo,2010,Ingresos de deuda,336030000,357937,938.7964921
General Zuazua,2010,Ingresos propios,12338495,55213,223.4708311
General Zuazua,2010,Ingresos provenientes de transferencias federales,33164649,55213,600.6673972
General Zuazua,2010,Ingresos de deuda,0,55213,0
Juárez,2010,Ingresos propios,113610242,256970,442.1148072
Juárez,2010,Ingresos provenientes de transferencias federales,215814561,256970,839.8434097
Juárez,2010,Ingresos de deuda,11399717,256970,44.36205394
Pesquería,2010,Ingresos propios,48059628,20843,2305.792256
Pesquería,2010,Ingresos provenientes de transferencias federales,30353175,20843,1456.276688
Pesquería,2010,Ingresos de deuda,8188892,20843,392.8845176
Salinas Victoria,2010,Ingresos propios,32544560,32660,996.4654011
Salinas Victoria,2010,Ingresos provenientes de transferencias federales,64267779,32660,1967.782578
Salinas Victoria,2010,Ingresos de deuda,11711699,32660,358.5945805
Santa Catarina,2010,Ingresos propios,165773769,268955,616.3624733
Santa Catarina,2010,Ingresos provenientes de transferencias federales,380694738,268955,1415.458861
Santa Catarina,2010,Ingresos de deuda,279367000,268955,1038.712796
Santiago,2010,Ingresos propios,69978519,40469,1729.188243
Santiago,2010,Ingresos provenientes de transferencias federales,87362491,40469,2158.75092
Santiago,2010,Ingresos de deuda,22152360,40469,547.3908424
Abasolo,2015,Ingresos propios,3430263,2639,1299.834407
Abasolo,2015,Ingresos provenientes de transferencias federales,36472139,2639,13820.43918
Abasolo,2015,Ingresos de deuda,0,2639,0
Apodaca,2015,Ingresos propios,173697334,597207,290.8494609
Apodaca,2015,Ingresos provenientes de transferencias federales,1000070473,597207,1674.579288
Apodaca,2015,Ingresos de deuda,390736549,597207,654.2732235
Cadereyta,2015,Ingresos propios,89163358,95534,933.3154479
Cadereyta,2015,Ingresos provenientes de transferencias federales,262996783,95534,2752.912921
Cadereyta,2015,Ingresos de deuda,17162346,95534,179.6464714
El Carmen,2015,Ingresos propios,32023553,38306,835.9931342
El Carmen,2015,Ingresos provenientes de transferencias federales,35245272,38306,920.0979481
El Carmen,2015,Ingresos de deuda,0,38306,0
Ciénaga de Flores,2015,Ingresos propios,70435970,42715,1648.975067
Ciénaga de Flores,2015,Ingresos provenientes de transferencias federales,79913988,42715,1870.864755
Ciénaga de Flores,2015,Ingresos de deuda,1000000,42715,23.41097975
García,2015,Ingresos propios,232464141,247370,939.7426567
García,2015,Ingresos provenientes de transferencias federales,384281147,247370,1553.467061
García,2015,Ingresos de deuda,0,247370,0
General Escobedo,2015,Ingresos propios,490349435,425148,1153.361735
General Escobedo,2015,Ingresos provenientes de transferencias federales,688167853,425148,1618.654805
General Escobedo,2015,Ingresos de deuda,0,425148,0
General Zuazua,2015,Ingresos propios,17349384,67294,257.8147235
General Zuazua,2015,Ingresos provenientes de transferencias federales,79345800,67294,1179.091747
General Zuazua,2015,Ingresos de deuda,4834753,67294,71.84523137
Juárez,2015,Ingresos propios,272010515,333481,815.6702031
Juárez,2015,Ingresos provenientes de transferencias federales,395895260,333481,1187.159868
Juárez,2015,Ingresos de deuda,29220974,333481,87.62410452
Pesquería,2015,Ingresos propios,74146032,87168,850.6106828
Pesquería,2015,Ingresos provenientes de transferencias federales,57216523,87168,656.3936651
Pesquería,2015,Ingresos de deuda,0,87168,0
Salinas Victoria,2015,Ingresos propios,93555613,54192,1726.373136
Salinas Victoria,2015,Ingresos provenientes de transferencias federales,92297056,54192,1703.149099
