,Municipio,Año,Inv,Pob,prop_inv,perc_inv,trans_fed,prop_trans,perc_trans,ingresos_propios,prop_ingresos
43,Guadalupe,2015,394856660.0,682880.0,578.222616,0.000146439,1283951273.0,1880.2004350000002,1.46439E-06,468869005.0,686.6052674
44,Guadalupe,2018,654962333.0,702812.0,931.9168327,0.000142286,1805378768.0,2568.7933160000002,1.42286E-06,653250941.0,929.481769
45,Juárez,1990,633543.0,28014.0,22.615228100000003,0.0035696440000000003,1623656.0,57.95873492,3.56964E-05,906216.0,32.3486828
46,Juárez,2000,10061011.0,66497.0,151.30022409999998,0.0015038270000000001,34176386.0,513.9538024,1.50383E-05,22194767.0,333.77095210000004
47,Juárez,2010,125606452.0,256970.0,488.7981165,0.00038915,215814561.0,839.8434097,3.8915E-06,113610242.0,442.1148072
48,Juárez,2015,104931893.0,333481.0,314.6562863,0.000299867,395895260.0,1187.159868,2.99867E-06,272010515.0,815.6702031000001
49,Juárez,2018,122550295.0,373725.0,327.9157,0.000267576,606095299.0,1621.768142,2.67576E-06,163366591.0,437.1304863
50,Monterrey,1990,51570354.0,1069238.0,48.23094016,9.35245e-05,99954798.0,93.48227242,9.35245E-07,63355027.0,59.25250225
51,Monterrey,2000,509612000.0,1110997.0,458.69790830000005,9.00092e-05,846020000.0,761.4962057,9.00092E-07,776403000.0,698.8344703
52,Monterrey,2010,964623598.0,1135550.0,849.4769918,8.80631e-05,2228701523.0,1962.662607,8.80631E-07,1275334272.0,1123.098298
53,Monterrey,2015,1222622020.0,1109171.0,1102.284517,9.01574e-05,2694251631.0,2429.0678629999998,9.01574E-07,1878659371.0,1693.7508920000002
54,Monterrey,2018,1757442917.0,1106817.0,1587.835132,9.03492e-05,3466386441.0,3131.851463,9.03492E-07,2886395879.0,2607.83479
55,Pesquería,1990,564536.0,8188.0,68.94675134,0.012212995,1459639.0,178.26563259999998,0.00012213,353217.0,43.13837323
56,Pesquería,2000,2778237.0,11321.0,245.4056179,0.008833141999999999,10255747.0,905.9046903999999,8.83314E-05,6518847.0,575.8190089
57,Pesquería,2010,27389170.0,20843.0,1314.070431,0.004797774,30353175.0,1456.2766880000001,4.79777E-05,48059628.0,2305.7922559999997
58,Pesquería,2015,31170130.0,87168.0,357.5868438,0.00114721,57216523.0,656.3936651,1.14721E-05,74146032.0,850.6106828
59,Pesquería,2018,122592415.0,104642.0,1171.541207,0.000955639,202769929.0,1937.748982,9.55639E-06,180913650.0,1728.881807
60,Salinas Victoria,1990,639548.0,9518.0,67.19352805,0.010506409,1621906.0,170.4040765,0.000105064,291851.0,30.66305947
61,Salinas Victoria,2000,11923748.0,19024.0,626.7739697000001,0.005256518000000001,17079726.0,897.7988856000001,5.25652E-05,6273504.0,329.7678722
62,Salinas Victoria,2010,39280994.0,32660.0,1202.724862,0.003061849,64267779.0,1967.782578,3.06185E-05,32544560.0,996.4654011
63,Salinas Victoria,2015,93301222.0,54192.0,1721.678882,0.001845291,92297056.0,1703.1490989999998,1.84529E-05,93555613.0,1726.373136
64,Salinas Victoria,2018,,58746.0,,,,,,,
65,San Nicolás,1990,10859561.0,436603.0,24.87285016,0.00022904099999999998,30360464.0,69.53791889,2.29041E-06,22353997.0,51.19982455
66,San Nicolás,2000,73027000.0,496878.0,146.97169119999998,0.00020125700000000001,305827000.0,615.4971642999999,2.01257E-06,185788000.0,373.91069839999994
67,San Nicolás,2010,423598120.0,443273.0,955.614531,0.000225595,939604612.0,2119.697369,2.25595E-06,345290880.0,778.9576175
68,San Nicolás,2015,329127000.0,430143.0,765.1571687,0.00023248099999999999,1324083793.0,3078.240941,2.32481E-06,454170836.0,1055.8601119999998
69,San Nicolás,2018,500710289.0,473337.0,1057.830444,0.000211266,1358111712.0,2869.2278690000003,2.11266E-06,637846673.0,1347.552955
70,San Pedro,1990,22028916.0,113040.0,194.87717619999998,0.0008846430000000001,29069409.0,257.16037689999996,8.84643E-06,41444176.0,366.63283789999997
