Municipio,Year,Ingresos,Monto_ingresos,Egresos,Monto_egresos,hist
General Escobedo,2000,Ingresos provenientes de transferencias federales,119661977,Inversión,70329602,b
General Escobedo,2000,Ingresos de deuda,14974492,Deuda,8054421,b
General Escobedo,2000,,,Otros,17653290,b
General Zuazua,2000,Ingresos propios,2839589,Gasto corriente,9513359,b
General Zuazua,2000,Ingresos provenientes de transferencias federales,11715951,Inversión,3594728,b
General Zuazua,2000,Ingresos de deuda,0,Deuda,182421,b
General Zuazua,2000,,,Otros,1265032,b
Guadalupe,2000,Ingresos propios,232463419,Gasto corriente,379575666,a
Guadalupe,2000,Ingresos provenientes de transferencias federales,369061357,Inversión,161828891,a
Guadalupe,2000,Ingresos de deuda,15794090,Deuda,25403653,a
Guadalupe,2000,,,Otros,50510656,a
Juárez,2000,Ingresos propios,22194767,Gasto corriente,23853197,b
Juárez,2000,Ingresos provenientes de transferencias federales,34176386,Inversión,10061011,b
Juárez,2000,Ingresos de deuda,0,Deuda,0,b
Juárez,2000,,,Otros,22456945,b
Monterrey,2000,Ingresos propios,776403000,Gasto corriente,1016050000,a
Monterrey,2000,Ingresos provenientes de transferencias federales,846020000,Inversión,509612000,a
Monterrey,2000,Ingresos de deuda,90200000,Deuda,54719000,a
Monterrey,2000,,,Otros,132242000,a
Pesquería,2000,Ingresos propios,6518847,Gasto corriente,12172082,b
Pesquería,2000,Ingresos provenientes de transferencias federales,10255747,Inversión,2778237,b
Pesquería,2000,Ingresos de deuda,100000,Deuda,198882,b
Pesquería,2000,,,Otros,1725393,b
Salinas Victoria,2000,Ingresos propios,6273504,Gasto corriente,8785101,b
Salinas Victoria,2000,Ingresos provenientes de transferencias federales,17079726,Inversión,11923748,b
Salinas Victoria,2000,Ingresos de deuda,104178,Deuda,0,b
Salinas Victoria,2000,,,Otros,2748559,b
San Nicolás,2000,Ingresos propios,185788000,Gasto corriente,327189000,a
San Nicolás,2000,Ingresos provenientes de transferencias federales,305827000,Inversión,73027000,a
San Nicolás,2000,Ingresos de deuda,52807000,Deuda,21945000,a
San Nicolás,2000,,,Otros,122261000,a
Santa Catarina,2000,Ingresos propios,87468618,Gasto corriente,147078042,b
Santa Catarina,2000,Ingresos provenientes de transferencias federales,139726752,Inversión,66088807,b
Santa Catarina,2000,Ingresos de deuda,16500000,Deuda,17585549,b
Santa Catarina,2000,,,Otros,12942972,b
Santiago,2000,Ingresos propios,25900932,Gasto corriente,38680312,b
Santiago,2000,Ingresos provenientes de transferencias federales,30710903,Inversión,13274367,b
Santiago,2000,Ingresos de deuda,1500000,Deuda,400000,b
Santiago,2000,,,Otros,5757156,b
Abasolo,2010,Ingresos propios,1529042,Gasto corriente,12015303,b
Abasolo,2010,Ingresos provenientes de transferencias federales,15020790,Inversión,5798896,b
Abasolo,2010,Ingresos de deuda,2044720,Deuda,145568,b
Abasolo,2010,,,Otros,634785,b
Apodaca,2010,Ingresos propios,295859710,Gasto corriente,402775974,b
Apodaca,2010,Ingresos provenientes de transferencias federales,528083341,Inversión,546745654,b
Apodaca,2010,Ingresos de deuda,196181518,Deuda,56956178,b
Apodaca,2010,,,Otros,13646763,b
Cadereyta,2010,Ingresos propios,45520779,Gasto corriente,180944830,b
Cadereyta,2010,Ingresos provenientes de transferencias federales,183401904,Inversión,51361621,b
Cadereyta,2010,Ingresos de deuda,11932763,Deuda,0,b
Cadereyta,2010,,,Otros,8548995,b
El Carmen,2010,Ingresos propios,14037462,Gasto corriente,30383767,b
El Carmen,2010,Ingresos provenientes de transferencias federales,30547426,Inversión,12166771,b
El Carmen,2010,Ingresos de deuda,0,Deuda,30260,b
El Carmen,2010,,,Otros,2004090,b
Ciénaga de Flores,2010,Ingresos propios,34695590,Gasto corriente,68500703,b
Ciénaga de Flores,2010,Ingresos provenientes de transferencias federales,37851895,Inversión,19520889,b
Ciénaga de Flores,2010,Ingresos de deuda,17780827,Deuda,841142,b
Ciénaga de Flores,2010,,,Otros,1465578,b
García,2010,Ingresos propios,123109875,Gasto corriente,184310166,b
García,2010,Ingresos provenientes de transferencias federales,135519248,Inversión,72218072,b
García,2010,Ingresos de deuda,110935102,Deuda,10640109,b
García,2010,,,Otros,102395878,b
San Pedro,2010,Ingresos propios,554958189,Gasto corriente,728886058,a
San Pedro,2010,Ingresos provenientes de transferencias federales,445064630,Inversión,151121470,a
San Pedro,2010,Ingresos de deuda,10000000,Deuda,39110105,a
San Pedro,2010,,,Otros,90905186,a
General Escobedo,2010,Ingresos propios,200345130,Gasto corriente,369998626,b
General Escobedo,2010,Ingresos provenientes de transferencias federales,475238328,Inversión,340099656,b
General Escobedo,2010,Ingresos de deuda,336030000,Deuda,76926039,b
General Escobedo,2010,,,Otros,224589137,b
General Zuazua,2010,Ingresos propios,12338495,Gasto corriente,28854603,b
General Zuazua,2010,Ingresos provenientes de transferencias federales,33164649,Inversión,11036316,b
General Zuazua,2010,Ingresos de deuda,0,Deuda,32099,b
General Zuazua,2010,,,Otros,5580126,b
Guadalupe,2010,Ingresos propios,326595330,Gasto corriente,1002784222,a
Guadalupe,2010,Ingresos provenientes de transferencias federales,970808517,Inversión,318032052,a
Guadalupe,2010,Ingresos de deuda,170000000,Deuda,47642374,a
Guadalupe,2010,,,Otros,98945199,a
Juárez,2010,Ingresos propios,113610242,Gasto corriente,200974371,b
Juárez,2010,Ingresos provenientes de transferencias federales,215814561,Inversión,125606452,b
Juárez,2010,Ingresos de deuda,11399717,Deuda,5881849,b
Juárez,2010,,,Otros,8361848,b
Monterrey,2010,Ingresos propios,1275334272,Gasto corriente,2440607339,a
Monterrey,2010,Ingresos provenientes de transferencias federales,2228701523,Inversión,964623598,a
Monterrey,2010,Ingresos de deuda,211308787,Deuda,203673105,a
Monterrey,2010,,,Otros,106440540,a
Pesquería,2010,Ingresos propios,48059628,Gasto corriente,57666363,b
Pesquería,2010,Ingresos provenientes de transferencias federales,30353175,Inversión,27389170,b
Pesquería,2010,Ingresos de deuda,8188892,Deuda,0,b
Pesquería,2010,,,Otros,1546162,b
Salinas Victoria,2010,Ingresos propios,32544560,Gasto corriente,64829888,b
Salinas Victoria,2010,Ingresos provenientes de transferencias federales,64267779,Inversión,39280994,b
Salinas Victoria,2010,Ingresos de deuda,11711699,Deuda,29452,b
Salinas Victoria,2010,,,Otros,4383704,b
San Nicolás,2010,Ingresos propios,345290880,Gasto corriente,738592670,a
San Nicolás,2010,Ingresos provenientes de transferencias federales,939604612,Inversión,423598120,a
San Nicolás,2010,Ingresos de deuda,342446000,Deuda,315574239,a
San Nicolás,2010,,,Otros,149576463,a
Santa Catarina,2010,Ingresos propios,165773769,Gasto corriente,388691960,b
Santa Catarina,2010,Ingresos provenientes de transferencias federales,380694738,Inversión,102641403,b
Santa Catarina,2010,Ingresos de deuda,279367000,Deuda,181676634,b
Santa Catarina,2010,,,Otros,152825510,b
